Claude Code Token Usage (4/12-5/9)
Week,Date Range,Raw I/O (M),Cache Write (M),Cache Read (M),Total (M),Cost ($)
W1,4/12-4/18,1.01,2.99,76.77,80.77,49.06
W2,4/19-4/25,0.49,1.90,57.73,60.11,33.90
W3,4/26-5/2,0.28,0.99,12.96,14.23,11.85
W4,5/3-5/9,0.02,0.08,1.64,1.74,1.15
Average,-,0.45,1.49,37.27,39.21,23.99

Codex Token Usage (4/12-5/9)
Week,Date Range,Raw I/O (M),Cache Write,Cache Read (M),Total (M),Cost ($)
W1,4/12-4/18,1.67,-,23.84,25.51,11.53
W2,4/19-4/25,2.71,-,20.76,23.47,18.10
W3,4/26-5/2,0.00,-,0.00,0.00,0.00
W4,5/3-5/9,0.00,-,0.00,0.00,0.00
Average,-,1.10,-,11.15,12.24,7.41

Cursor Token Usage (4/12-5/9)
Week,Date Range,Raw I/O (M),Cache Write (M),Cache Read (M),Total (M),Cost ($)
W1,4/12-4/18,0.15,0.95,8.72,9.82,8.45
W2,4/19-4/25,4.71,1.74,28.14,34.58,25.12
W3,4/26-5/2,0.10,0.58,7.04,7.73,9.76
W4,5/3-5/9,0.00,0.00,0.00,0.00,0.00
Average,-,1.24,0.82,10.97,13.03,10.83

Summary
Claude: luukai | 近4周 | RawI/O均 0.45M | Cache均 37.27M | Total均 39.21M/周 | $23.99/周
Codex: luukai | 近4周 | RawI/O均 1.10M | Cache均 11.15M | Total均 12.24M/周 | $7.41/周
Cursor: luukai | 近4周 | RawI/O均 1.24M | Cache均 10.97M | Total均 13.03M/周 | $10.83/周
合计: luukai | 近4周 | Claude $23.99/周 + Codex $7.41/周 + Cursor $10.83/周 = $42.23/周
